pick_date,symbol,view,mom_pct,entry_date,entry_px,exit_date,exit_px,ret_pct,bench_pct,excess_pct,call_excess_pct,hit,settled,dropped
2026-07-16,HOOD,看淡,-6.0,2026-07-17,99.96,2026-08-14,97.66,-2.301,5.402,-7.703,7.703,True,True,False
2026-07-16,TSLA,看淡,-11.9,2026-07-17,380.84,2026-08-14,348.06,-8.607,5.402,-14.009,14.009,True,True,False
2026-07-16,NFLX,看淡,-18.7,2026-07-17,68.95,2026-08-14,78.045,13.191,5.402,7.789,-7.789,False,True,False
2026-07-17,AAPL,看好,27.6,2026-07-20,326.3086,2026-08-17,305.59,-6.349,4.857,-11.207,-11.207,False,True,False
2026-07-17,KO,看好,17.7,2026-07-20,82.12,2026-08-17,86.98,5.918,4.857,1.061,1.061,True,True,False
2026-07-17,BRK-B,看好,1.6,2026-07-20,491.25,2026-08-17,498.23,1.421,4.857,-3.436,-3.436,False,True,False
2026-07-17,HOOD,看淡,-15.7,2026-07-20,99.28,2026-08-17,96.25,-3.052,4.857,-7.909,7.909,True,True,False
2026-07-17,NFLX,看淡,-23.2,2026-07-20,67.6,2026-08-17,76.02,12.456,4.857,7.598,-7.598,False,True,False
2026-07-17,TSLA,看淡,-13.1,2026-07-20,369.57,2026-08-17,339.3,-8.191,4.857,-13.048,13.048,True,True,False
2026-07-20,AAPL,看好,26.8,,,,,,,,,,False,False
2026-07-20,KO,看好,17.9,,,,,,,,,,False,False
2026-07-20,BRK-B,看好,-0.6,,,,,,,,,,False,False
2026-07-20,HOOD,看淡,-8.5,,,,,,,,,,False,False
2026-07-20,TSLA,看淡,-14.7,,,,,,,,,,False,False
2026-07-20,NFLX,看淡,-23.1,,,,,,,,,,False,False
2026-07-21,AAPL,看好,28.1,,,,,,,,,,False,False
2026-07-21,KO,看好,17.8,,,,,,,,,,False,False
2026-07-21,BRK-B,看好,-0.9,,,,,,,,,,False,False
2026-07-21,HOOD,看淡,-1.7,,,,,,,,,,False,False
2026-07-21,TSLA,看淡,-12.6,,,,,,,,,,False,False
2026-07-21,NFLX,看淡,-22.9,,,,,,,,,,False,False
2026-07-22,AAPL,看好,32.1,,,,,,,,,,False,False
2026-07-22,KO,看好,16.4,,,,,,,,,,False,False
2026-07-22,BRK-B,看好,0.9,,,,,,,,,,False,False
2026-07-22,HOOD,看淡,-0.9,,,,,,,,,,False,False
2026-07-22,TSLA,看淡,-10.1,,,,,,,,,,False,False
2026-07-22,NFLX,看淡,-19.6,,,,,,,,,,False,False
2026-07-23,AAPL,看好,30.0,,,,,,,,,,False,False
2026-07-23,KO,看好,14.8,,,,,,,,,,False,False
2026-07-23,BRK-B,看好,1.4,,,,,,,,,,False,False
2026-07-23,TSLA,看淡,-25.3,,,,,,,,,,False,False
2026-07-23,HOOD,看淡,-5.0,,,,,,,,,,False,False
2026-07-23,META,看淡,-1.6,,,,,,,,,,False,False
2026-07-28,AAPL,看好,33.1,,,,,,,,,,False,False
2026-07-28,KO,看好,24.9,,,,,,,,,,False,False
2026-07-28,BRK-B,看好,5.4,,,,,,,,,,False,False
2026-07-28,TSLA,看淡,-30.0,,,,,,,,,,False,False
2026-07-28,HOOD,看淡,-14.6,,,,,,,,,,False,False
2026-07-28,META,看淡,-11.9,,,,,,,,,,False,False
2026-07-29,AAPL,看好,33.3,,,,,,,,,,False,False
2026-07-29,KO,看好,26.0,,,,,,,,,,False,False
2026-07-29,BRK-B,看好,5.3,,,,,,,,,,False,False
2026-07-29,TSLA,看淡,-30.4,,,,,,,,,,False,False
2026-07-29,HOOD,看淡,-15.7,,,,,,,,,,False,False
2026-07-29,META,看淡,-12.2,,,,,,,,,,False,False
2026-07-30,AAPL,看好,29.7,,,,,,,,,,False,False
2026-07-30,KO,看好,21.7,,,,,,,,,,False,False
2026-07-30,BRK-B,看好,6.0,,,,,,,,,,False,False
2026-07-30,TSLA,看淡,-29.3,,,,,,,,,,False,False
2026-07-30,HOOD,看淡,-15.3,,,,,,,,,,False,False
2026-07-30,META,看淡,-19.6,,,,,,,,,,False,False
2026-07-31,KO,看好,20.9,,,,,,,,,,False,False
2026-07-31,BRK-B,看好,7.1,,,,,,,,,,False,False
2026-07-31,AAPL,看好,17.4,,,,,,,,,,False,False
2026-07-31,TSLA,看淡,-26.1,,,,,,,,,,False,False
2026-07-31,HOOD,看淡,-15.8,,,,,,,,,,False,False
2026-07-31,META,看淡,-25.7,,,,,,,,,,False,False
2026-08-03,KO,看好,17.8,,,,,,,,,,False,False
2026-08-03,AAPL,看好,17.4,,,,,,,,,,False,False
2026-08-03,AMZN,看好,19.5,,,,,,,,,,False,False
2026-08-03,TSLA,看淡,-24.8,,,,,,,,,,False,False
2026-08-03,HOOD,看淡,-8.7,,,,,,,,,,False,False
2026-08-03,META,看淡,-17.0,,,,,,,,,,False,False
2026-08-03,BRK-B,看好,6.8,,,,,,,,,,False,False
2026-08-04,KO,看好,15.9,,,,,,,,,,False,False
2026-08-04,AAPL,看好,13.6,,,,,,,,,,False,False
2026-08-04,BRK-B,看好,5.5,,,,,,,,,,False,False
2026-08-04,TSLA,看淡,-23.0,,,,,,,,,,False,False
2026-08-04,HOOD,看淡,2.6,,,,,,,,,,False,False
2026-08-04,META,看淡,-17.5,,,,,,,,,,False,False
2026-08-05,AAPL,看好,15.9,,,,,,,,,,False,False
2026-08-05,KO,看好,14.2,,,,,,,,,,False,False
2026-08-05,NVDA,看好,21.8,,,,,,,,,,False,False
2026-08-05,TSLA,看淡,-23.2,,,,,,,,,,False,False
2026-08-05,HOOD,看淡,8.8,,,,,,,,,,False,False
2026-08-05,META,看淡,-14.5,,,,,,,,,,False,False
2026-08-06,KO,看好,13.9,,,,,,,,,,False,False
2026-08-06,NVDA,看好,25.4,,,,,,,,,,False,False
2026-08-06,AAPL,看好,13.3,,,,,,,,,,False,False
2026-08-06,TSLA,看淡,-20.5,,,,,,,,,,False,False
2026-08-06,META,看淡,-11.5,,,,,,,,,,False,False
2026-08-06,HOOD,看淡,14.5,,,,,,,,,,False,False
2026-08-07,KO,看好,13.8,,,,,,,,,,False,False
