date,trigger_reason,nasdaq_d1,vix,vxsmh,pushed
2026-07-23,②VXSMH=62.25(≥60.0)+纳指-2.457%(≤-1.5%),-2.457,19.12,62.25,True
2026-07-29,②VXSMH=63.54(≥60.0)+纳指-1.744%(≤-1.5%),-1.744,20.66,63.54,True
